niche,keywords,pool_wa_1to30_decisionmaker
Electrical,"electrical, electrician",213
HVAC,"hvac, heating, air conditioning",192
Water damage / restoration,"water damage, restoration, mold remediation",160
Roofing,roofing,109
Plumbing,plumbing,100
Vet / animal hospital,"veterinary, veterinarian, animal hospital",97
Pest control,"pest control, exterminator",45
Siding,siding,43
Tree service,"tree service, tree care, arborist",35
Septic / sewer,"septic, sewer",26
Fencing,"fence, fencing",23
Windows,"window replacement, window installation, replacement windows",18
Gutters,gutter,16
Decks,"deck building, decking, deck builder",14
Garage door,garage door,7
